user_id,user_age,user_level,user_learning_interests,user_avg_session_minutes,user_posts_count,user_comments_made,user_likes_given,user_friends_count,days_since_signup,post_id,post_topic_category,post_topic_title,post_word_count,post_has_image,post_likes,post_comments,post_reposts,post_age_hours,post_is_pinned,author_friend_status,topic_interest_match,peer_engagement_count,created_at,engaged
1126,N/A,Intermediate,Grammar,12.3,34,47,358,75,290,5005,vocabulary,Idioms in real conversations,402,true,28,32,3,216.1,no,PENDING,NaN,9,2026-02-18 00:17:00,1
1040,38,Intermediate,IELTS,56.1,74,34,159,60,715,5290,READING,Skimming vs scanning,327,true,303,20,23,500,false,PENDING,0.219,2,2026-03-30 14:55:00,0
1021, ,advanced,Writing,46.1,56,145,284,46,772,5118,TOEFL,Score 100+ study plan,36,false,20,38,9,690.1,false,FRIEND,0.198,11,03/15/2026,1
1130,36,Intermediate,Event|Reading,37.4,7,233,142,120,241,5186, Listening ,Note-taking techniques,419,false,318,3,18,499,false,NOT_FRIEND,0.037,3,2026-04-21 00:36:00,0
1035,27,Advanced,Grammar; Event; Writing,8.3,15,38,596,91,408,5338,TOEFL,Integrated writing tips,314,true,45,11,21,316,false,PENDING,0.058,5,24-02-2026,1
1022,30,Intermediate,IELTS,7.8,63,210,116,50,248,5482,Vocabulary,Collocations you should know,342,yes,243,86,0,323.5,True,PENDING,0.122,4,2026-01-18 07:31:00,1
1109,,Beginner,Vocabulary,59.2,40,47,213,47,576,5132,Reading,Article of the week,294,false,117,3,2,236.3,false,NOT_FRIEND,0.167,4,2026/02/07,1
1198,35,Intermediate,"Vocabulary,Grammar",10.7,38,40,516,34,109,5082,Event,Writing workshop signup,219,true,240,19,5,281.8,0,PENDING,0.046,2,2026-03-19 02:34:00,0
1173,37,Beginner,IELTS|Vocabulary,18.9,44,223,479,8,316,5195,IELTS,IELTS band 7 roadmap,55,yes,92,0,3,580.2,false,NOT_FRIEND,0.825,3,03/07/2026,1
1068,41,ADVANCED,BusinessEnglish; Grammar,38.2,69,76,75,94,531,5501,TOEFL,Integrated writing tips,491,no,253,6,2,179.9,False,PENDING,0.122,11,2026-04-24 19:09:00,1
1169,19,BEGINNER,"Writing,Grammar,IELTS",5.5,34,244,248,51,201,5238,Listening,Dictation practice thread,34,0,314,16,19,79,false,BLOCKED,0.17,11,04-01-2026,0
1043,19,INTERMEDIATE,"Event,TOEFL,IELTS",19,28,181,303,23,516,5552,BusinessEnglish,Job interview answers,355,1,86,77,25,527.1,1,BLOCKED,0.095,0,2026-02-26 02:00:00,0
1148,22,intermediate,Listening; Event; Grammar,16.2,72,206,506,10,485,5228,WRITING,Paraphrasing practice,342,false,20,7,16,570,no,BLOCKED,N/A,11,03/10/2026,0
1206,32,Advanced,Event,32.5,0,59,420,23,327,5250,TOEFL,Score 100+ study plan,38,False,45,3,6,534.9,false,PENDING,0.159,2,2026-01-29 23:19:00,0
1115,27,Intermediate,"Speaking,BusinessEnglish,Event",52.4,29,161,535,67,857,5532,Vocabulary,Word of the day,593,no,312,40,22,378.7,no,FRIEND,0.16,12,2026-03-28 12:08:00,1
1105,39,Advanced,IELTS|Listening|Event,11.6,61,54,461,101,228,5142,Speaking,Daily speaking partners,391,yes,238,4,10,509.3,true,NOT_FRIEND,0.168,7,2026/03/21,1
1080,39,Advanced,"Vocabulary,Listening,BusinessEnglish",6.7,47,235,510,0,544,5319, IELTS ,Cue card practice partners,80,false,268,52,10,570.5,yes,NOT_FRIEND,0.165,4,07-01-2026,1
1130,36,Intermediate,"Event,Reading",37.4,7,233,142,null,241,5062,Grammar,Subjunctive mood basics,559,false,155,35,1,108.3,false,PENDING,0.039,3,2026-04-21 05:53:00,1
1123,19,Intermediate,IELTS|Listening|BusinessEnglish,12.3,38,58,370,10,860,5382,BusinessEnglish,Presentation openings,213,true,96,54,16,193.2,false,BLOCKED,0.801,12,24-03-2026,1
1061,23, Advanced ,"Event,TOEFL",24.5,28,149,110,15,862,5525,Speaking,Common pronunciation mistakes,null,False,121,10,21,403.2,false,PENDING,0.132,10,02/18/2026,0
1019,22,Intermediate,Vocabulary,30.2,78,14,170,111,793,5404,Writing,Punctuation pitfalls,202,yes,80,11,3,446,0,PENDING,N/A,6,04/10/2026,1
1025,21,BEGINNER,TOEFL; Speaking; BusinessEnglish,9.5,50,243,599,100,412,5489,TOEFL,  TOEFL Prep weekly thread,322,true,240,15,4,268.1,no,FRIEND,null,7,02/03/2026,1
1218,32,Beginner,"BusinessEnglish,Writing",57.2,22,143,68,97,668,5290,Reading,Skimming vs scanning,327,1,303,20,23,500,no,NOT_FRIEND,0.228,11,30-03-2026,1
1158,39,ADVANCED,Grammar; Speaking,45.1,66,249,510,76,697,5049, Writing ,Punctuation pitfalls,329,False,18,49,5,446.4,yes,FRIEND,0.198,6,03/25/2026,1
1119,39,Advanced,N/A,47.9,25,157,117,39,371,5367,Event,Mock TOEFL Saturday,552,1,53,68,13,555.2,false,FRIEND,0.102,12,2026-04-06 00:46:00,1
1024,33,beginner,Reading; Grammar,52.5,74,214,222,80,609,5505,VOCABULARY,Academic word list — week 4,236,false,5,6,9,274.9,0,PENDING,0.218,6,04/26/2026,0
1063,41,Intermediate,Event; Listening; IELTS,29.6,21,189,0,2,309,5352,Writing,Formal vs informal register,238,1,301,18,21,375.9,false,PENDING,0.108,2,2026-01-05 17:54:00,1
1056,42,Advanced,"Grammar,Event",26.5,13,86,547,52,607,5354,Grammar,#PastParticiple cheatsheet,78,1,41,13,19,503.4,false,NOT_FRIEND,0.949,4,02-02-2026,0
1028,29,Beginner,"Speaking,Reading",48.4,58,62,198,64,559,5348,Event,Speaking club Friday,499,1,44,50,25,207.7,no,FRIEND,0.018,12,2026-01-29 14:36:00,1
1217,32,Beginner,"Writing,Event",22.4,27,142,220,14,149,5095,IELTS,Writing task 2 essay structures,249,0,225,52,24,10.9,false,FRIEND,0.226,1,2026-04-01 00:04:00,0
1197,42,ADVANCED,"TOEFL,BusinessEnglish",55.4,77,149,51,101,626,5237,IELTS,Listening trap words,360,1,257,18,1,521.4,false,BLOCKED,0.024,8,28-03-2026,0
1159,42,INTERMEDIATE,"BusinessEnglish,Vocabulary",24.3,21,203,478,105,690,5293,Speaking,Daily speaking partners,67,false,191,30,22,471,false,FRIEND,0.173,2,2026-02-24 09:11:00,1
1007,20,Beginner,Reading|TOEFL,50.4,39,138,486,109,514,5588,event,Pronunciation bootcamp,357,false,289,65,15,602.2,false,NOT_FRIEND,0.134,2,03/23/2026,1
1017,23,Advanced,"Reading,BusinessEnglish,Event",3.3,20,96,303,13,4,5382,BusinessEnglish,Presentation openings,213,true,96,54,16,193.2,0,BLOCKED,0.769,1,2026-03-24 06:17:00,0
1201,25,Advanced,"TOEFL,BusinessEnglish,Writing",17.7,43,63,386,16,503,5028,Writing,Cohesion vs coherence,420,0,0,69,21,658.7,false,BLOCKED,0.979,2,2026-04-08 13:54:00,0
1077,25, Advanced ,Listening; Grammar,51.2,23,191,295,109,755,5192,grammar,Conditionals — when to use which,145,no,51,80,18,255,false,BLOCKED,0.788,8,2026-03-25 16:14:00,1
1147,40,Advanced,"Reading,TOEFL,IELTS",31,70,138,137,11,95,5038,grammar,Subjunctive mood basics,261,yes,63,68,5,706.6,false,BLOCKED,0.219,6,2026-01-17 09:09:00,0
1025,21,beginner,TOEFL; Speaking; BusinessEnglish,9.5,50,243,599,100,412,5025,Speaking,Storytelling fluency,158,true,223,51,15,294.1,false,BLOCKED,0.935,1,04/17/2026,1
1004,31,Advanced,Writing; Reading,59,37,157,185,76,517,5466,BusinessEnglish,Email templates that work,503,false,12,90,24,586.2,false,FRIEND,0.119,2,02/17/2026,0
1178,40,Beginner,"Listening,IELTS",26.3,77,33,209,114,713,5128,Grammar,Articles a/an/the explained,588,False,80,26,4,491.5,false,NOT_FRIEND,0.214,0,2026-04-11 00:55:00,0
1117,42,Beginner,"BusinessEnglish,Listening,Speaking",20.7,79,117,65,34,304,5247,Listening,Accents around the world,283,no,26,78,11,513.4,False,BLOCKED,0.879,4,29-03-2026,0
1101,24,Intermediate,"Writing,Reading,BusinessEnglish",3.6,73,151,299,113,723,5388,toefl,Reading section pacing,348,1,256,83,13,424.5,no,BLOCKED,0.085,7,2026-03-03 02:21:00,0
1128, ,ADVANCED,IELTS,52.1,8,69,307,94,125,5357,speaking,Accent reduction drills,355,false,301,36,21,199,false,PENDING,0.183,12,30-04-2026,1
1025,21,Beginner,"TOEFL,Speaking,BusinessEnglish",9.5,50,243,599,100,412,5462,Grammar,Conditionals — when to use which,376,0,121,21,1,369.1,false,PENDING,0.012,0,2026-02-17 23:34:00,0
1175,38,advanced,"Listening,TOEFL,Speaking",8.6,76,190,215,46,496,5219,Speaking,Small talk openers,457,true,38,85,11,244,false,BLOCKED,0.827,1,2026-02-23 20:34:00,0
1050,19,Advanced,"BusinessEnglish,Grammar",51.2,69,15,239,53,858,5336,event,Writing workshop signup,346,false,276,61,11,76,0,BLOCKED,0.16,5,25-01-2026,0
1123,19,Intermediate,"IELTS,Listening,BusinessEnglish",12.3,38,58,370,10,860,5263,vocabulary,Word of the day,108,no,314,52,0,686,no,PENDING,0.136,9,2026-04-20 06:35:00,1
1043,19,Intermediate,"Event,TOEFL,IELTS",19,28,181,303,23,516,5165,TOEFL,Speaking task 1 templates,455,false,261,58,1,490.9,no,PENDING,0.79,8,16-01-2026,1
1040,38,INTERMEDIATE,IELTS,56.1,74,34,159,60,715,5278,Reading,Article of the week,503,False,43,41,4,719.2,false,PENDING,0.166,9,2026-03-17 00:33:00,1
1104,29,Beginner,"Listening,Writing,Vocabulary",47.9,16,132,154,21,853,5159,Event,Mock TOEFL Saturday,558,false,75,0,19,165.3,0,FRIEND,0.215,8,2026-01-18 08:16:00,1
1096,37,Beginner,"Reading,Writing",30,7,236,319,78,850,5139,IELTS,Writing task 2 essay structures,295,false,13,27,0,68,false,NOT_FRIEND,0.128,4,30-03-2026,0
1083,27,Advanced,Event,54,52,19,465,119,117,5485,Vocabulary,Synonym swap challenge,126,0,313,73,15,427.8,False,BLOCKED,0.118,0,2026/03/09,0
1133,28,Advanced,"Listening,IELTS,Vocabulary",55,67,37,324,25,86,5204,writing,Paraphrasing practice,558,1,210,19,1,466.6,no,BLOCKED,0.112,12,2026-04-25 07:29:00,0
1213,31,advanced,"Listening,BusinessEnglish,Vocabulary",41.7,48,232,595,20,735,5017,IELTS,Writing task 2 essay structures,296,false,57,52,19,483.2,0,NOT_FRIEND,0.243,12,02/03/2026,0
1003,17,INTERMEDIATE,"Speaking,Listening,Grammar",47.4,70,94,294,18,849,5514,BusinessEnglish,Presentation openings,367,0,56,72,5,144.6,0,FRIEND,0.173,6,2026-02-03 07:54:00,1
1066,NaN,Beginner,Listening|Speaking|IELTS,41,10,134,222,null,552,5039,reading,Vocabulary in context,498,false,109,63,14,647.6,false,BLOCKED,0.156,5,2026-02-07 15:40:00,0
1074,39,Intermediate,Listening; Vocabulary,58.3,7,131,570,68,293,5458,Vocabulary,Synonym swap challenge,261,false,9,1,7,149.1,false,FRIEND,0.791,2,16-04-2026,1
1040,38,intermediate,IELTS,56.1,74,34,159,60,715,5300,Writing,Paraphrasing practice,149,yes,307,43,12,480.5,false,PENDING,0.248,0,2026-02-09 09:34:00,0
1071,18,ADVANCED,Writing,20.1,65,188,571,65,457,5518,LISTENING,Accents around the world,null,true,88,52,12,625.2,false,PENDING,0.078,9,2026-01-19 02:37:00,0
1212,30,Beginner,"Reading,Event,TOEFL",41.9,43,25,398,15,525,5548,grammar,Phrasal verbs that confuse everyone,360,true,123,15,5,133.8,false,FRIEND,0.185,7,2026-03-17 23:53:00,1
1012,41,ADVANCED,"IELTS,BusinessEnglish",49.3,25,171,160,112,263,5208, Writing ,Formal vs informal register,189,false,11,0,21,661.5,0,NOT_FRIEND,0.176,3,2026-03-01 08:08:00,0
1012,41,Advanced,,,25,171,160,112,263,5075,TOEFL,Integrated writing tips,60,1,48,74,10,183.1,false,FRIEND,0.055,1,2026-02-02 21:27:00,1
1202, ,intermediate,BusinessEnglish,35.6,46,241,332,119,884,5129,WRITING,Paraphrasing practice,209,no,264,32,0,116,false,FRIEND,0.183,10,2026-02-10 18:07:00,1
1057,36,Intermediate,"Vocabulary,Event",6.7,25,225,575,56,440,5121,BusinessEnglish,  Job interview answers,516,false,143,83,21,263.6,no,FRIEND,N/A,7,2026-02-13 07:03:00,1
1126,24,intermediate,Grammar,12.3,34,47,358,75,290,5145,Listening,Dictation practice thread,210,no,42,67,13,389.2,false,NOT_FRIEND,0.187,9,2026-02-21 23:21:00,0
1030,24,Advanced,BusinessEnglish; IELTS,30.5,79,128,1,4,325,5134,IELTS,Speaking part 3 examples,345,false,0,37,2,311.9,False,NOT_FRIEND,0.792,7,2026-04-09 12:06:00,1
1013,31,Beginner,TOEFL,27.5,35,150,496,25,227,5091,Vocabulary,Word of the day,null,0,21,38,19,136.6,false,BLOCKED,0.064,7,2026-02-27 10:41:00,0
1000,31,Advanced,"BusinessEnglish,Event,Reading",9999,4,176,469,85,290,5071,TOEFL,TOEFL Prep weekly thread,-53,false,205,53,13,276.2,no,BLOCKED,0.067,6,2026-01-26 00:40:00,0
1207,null,Beginner,"Listening,Writing",34.5,31,23,7,1,633,5371,Listening,  Dictation practice thread,31,false,53,2,25,571.7,no,NOT_FRIEND,0.755,9,2026/02/11,1
1205,26,Advanced,"Grammar,BusinessEnglish",3.7,70,94,93,54,610,5013,Event,Pronunciation bootcamp,235,yes,306,77,23,178,no,BLOCKED,0.018,5,2026-04-15 05:43:00,0
1202,22,Intermediate,BusinessEnglish,35.6,46,241,332,119,884,5379,Listening,Accents around the world,486,yes,15,13,3,524.7,False,PENDING,0.204,6,01/29/2026,0
1112,24,advanced,Vocabulary,17.9,28,51,217,12,289,5208,WRITING,Formal vs informal register,189,false,11,0,21,661.5,false,FRIEND,0.045,7,03/01/2026,0
1124,37,Beginner,Writing,55.1,60,195,40,75,894,5301,Listening,Note-taking techniques,204,no,339,2,1,646.1,false,BLOCKED,0.109,7,2026-04-12 17:17:00,0
1165,25,INTERMEDIATE,Listening,,65,143,23,102,645,5303,Grammar,#PastParticiple cheatsheet,303,no,144,1,8,386,1,BLOCKED,0.218,10,2026-04-02 15:23:00,0
1162,null,Intermediate,Speaking|Listening,28.2,71,17,265,100,326,5118,TOEFL,  Score 100+ study plan,36,false,20,38,9,690.1,no,FRIEND,,6,2026-03-15 11:01:00,0
1122,42,Beginner,N/A,42.8,16,124,375,73,884,5211,BusinessEnglish,Presentation openings,92,True,256,1,25,125.1,false,NOT_FRIEND,0.76,4,2026-01-08 12:10:00,1
1146,37,Beginner,Writing; BusinessEnglish; TOEFL,8.5,21,210,161,45,270,5233,Vocabulary,Synonym swap challenge,533,no,121,13,9,14.8,false,NOT_FRIEND,0.019,12,2026-02-28 14:40:00,1
1014,37,beginner,Writing; TOEFL; Speaking,42.4,64,197,38,117,345,5329,BusinessEnglish,Presentation openings,465,0,124,19,14,233.1,no,FRIEND,0.059,8,2026/01/26,1
1193,NaN,Beginner,BusinessEnglish,,64,20,456,97,248,5450,GRAMMAR,Articles a/an/the explained,39,True,281,64,1,570.6,false,NOT_FRIEND,0.243,1,2026-01-16 02:58:00,1
1099,18,Beginner,Grammar,9.6,38,110,296,114,163,5599,Speaking,Daily speaking partners,151,no,101,12,8,517,no,NOT_FRIEND,0.054,2,2026-05-02 03:37:00,1
1097,39,INTERMEDIATE,Reading; IELTS,10.2,48,107,581,11,368,5490,Grammar,Subjunctive mood basics,55,no,21,83,21,458.7,no,PENDING,0.239,4,2026-04-22 07:37:00,0
1018,20,Advanced,Speaking,37.2,14,46,548,N/A,65,5215,Event,Speaking club Friday,489,False,13,88,24,203.8,no,FRIEND, ,11,03/23/2026,1
1000,31,Advanced,N/A,36.6,4,176,469,85,290,5188,BusinessEnglish,Job interview answers,258,1,192,5,0,554.6,false,PENDING,0.853,10,2026-01-15 16:46:00,1
1141,40, Advanced ,Writing,N/A,64,247,76,18,574,5066,ielts,Speaking part 3 examples,261,1,293,51,8,141.8,false,NOT_FRIEND,0.212,2,31-01-2026,0
1026,31,Beginner,"Speaking,IELTS,BusinessEnglish",35.2,13,191,330,57,92,5333,TOEFL,Score 100+ study plan,256,true,224,59,23,29,false,NOT_FRIEND,0.02,4,2026-01-03 16:12:00,1
1153,17,Intermediate,Listening; IELTS; BusinessEnglish,23.3,78,32,320,46,556,5137,Event,Mentor AMA Tuesday,319,no,340,23,14,9.8,false,FRIEND,0.127,5,2026-03-25 03:42:00,1
1037, ,INTERMEDIATE,"Writing,Speaking",14.6,74,244,126,91,529,5433,Event,Speaking club Friday,504,true,36,42,22,57.9,no,BLOCKED,0.129,5,2026-01-23 18:54:00,0
1118,28,BEGINNER,N/A,37.9,14,190,538,104,507,5416,Writing,Essay feedback exchange,579,true,204,75,3,666.5,no,BLOCKED,0.235,7,2026-03-21 17:49:00,0
1047,35,Intermediate,IELTS,42.6,20,54,375,0,567,5307, BusinessEnglish ,Meeting phrases,559,yes,280,19,7,68,false,FRIEND,0.056,11,2026-04-06 13:21:00,1
1205,26,ADVANCED,"Grammar,BusinessEnglish",3.7,70,94,93,54,610,5366,grammar,#PastParticiple cheatsheet,198,false,24,88,15,355.2,false,PENDING,0.814,9,2026/01/03,1
1215,,INTERMEDIATE,Grammar|Vocabulary,23,55,211,88,119,639,5369,Reading,Vocabulary in context,567,true,144,4,9,244,false,FRIEND,0.02,9,2026-02-14 13:58:00,1
1016,32,Intermediate,"Vocabulary,IELTS,TOEFL",54.8,26,17,303,119,355,5206,IELTS,Writing task 2 essay structures,522,true,80,9,21,275.7,false,BLOCKED,N/A,1,2026-01-07 18:20:00,0
1061,23,Advanced,"Event,TOEFL",24.5,28,149,110,15,862,5102,Event,Writing workshop signup,556,true,320,84,11,576.7,false,NOT_FRIEND,null,3,2026-04-26 13:47:00,1
1177,29,ADVANCED,IELTS, ,46,59,486,95,865,5034,Writing,Punctuation pitfalls,159,false,79,6,14,483.6,0,BLOCKED,0.25,1,2026-01-11 20:39:00,0
1211,24,Intermediate,TOEFL,22.8,46,80,45,17,825,5476,Writing,Essay feedback exchange,379,no,160,74,22,409.8,0,NOT_FRIEND, ,5,01/08/2026,1
1035,27,Advanced,Grammar; Event; Writing,8.3,15,38,596,91,408,5028,writing,Cohesion vs coherence,420,false,0,69,21,658.7,0,BLOCKED,0.976,4,2026/04/08,0
1037,25,Intermediate,"Writing,Speaking",14.6,74,244,126,91,529,5497,writing,Punctuation pitfalls,63,no,173,69,21,108.6,1,FRIEND,0.799,4,2026-01-18 18:49:00,1
1194,42,Beginner,Vocabulary,3.3,79,210,163,58,371,5591,Speaking,Daily speaking partners,381,0,281,3,14,108,0,BLOCKED,0.01,7,2026-05-01 05:36:00,0
1157,34,Beginner,"Vocabulary,Listening",43.6,28,1,206,9,795,5252, TOEFL ,Reading section pacing,234,false,285,73,7,646.8,no,BLOCKED,0.096,5,02/24/2026,0
1077,25,advanced,Listening|Grammar,51.2,23,191,295,109,755,5319,IELTS,Cue card practice partners,80,false,268,52,10,570.5,yes,NOT_FRIEND,0.189,2,2026-01-07 13:30:00,0
1016,32,Intermediate,"Vocabulary,IELTS,TOEFL",54.8,26,17,303,119,355,5299,Vocabulary,Synonym swap challenge,N/A,false,344,5,17,647.9,false,PENDING,0.806,2,2026-03-28 17:42:00,1
1040,38,Intermediate,IELTS,56.1,74,34,159,60,715,5208, Writing ,Formal vs informal register,189,false,11,0,21,661.5,no,PENDING,0.242,3,2026-03-01 08:08:00,0
1072,20,Intermediate,Writing; Reading,5.3,75,177,33,22,27,5552,BusinessEnglish,Job interview answers, ,yes,86,77,25,527.1,1,BLOCKED,0.241,4,02/26/2026,0
1196,26,Advanced,"IELTS,Writing",35.3,15,97,544,50,107,5053,Event,Mock TOEFL Saturday,238,no,185,60,8,645,no,PENDING,0.023,11,2026-01-18 23:06:00,0
1040,38,Intermediate,null,56.1,74,34,159,60,715,5176,Vocabulary,  Idioms in real conversations,576,no,172,18,2,307.5,False,FRIEND,null,0,03/07/2026,1
1184,null,Beginner,"TOEFL,Listening,Event",23.4,57,1,259,53,319,5509,IELTS,IELTS band 7 roadmap,109,false,138,52,3,482.3,false,BLOCKED,0.056,8,2026-04-30 03:51:00,0
1166,25,Advanced,IELTS,11,50,159,314,19,143,5293,Speaking,Daily speaking partners,67,False,191,30,22,471,false,NOT_FRIEND,0.03,3,02/24/2026,1
1080,39,Advanced,Vocabulary; Listening; BusinessEnglish,6.7,47,235,510,0,544,5118, TOEFL ,Score 100+ study plan,36,no,20,38,9,690.1,false,FRIEND,0.183,12,2026-03-15 11:01:00,0
1000,31,ADVANCED,BusinessEnglish; Event; Reading,36.6,4,176,469,85,290,5082, Event ,Writing workshop signup,219,yes,240,19,5,281.8,false,BLOCKED,0.836,4,03/19/2026,1
1072,20, Intermediate ,Writing; Reading,5.3,75,177,33,22,27,5579,writing,  Formal vs informal register,375,true,249,37,5,156.2,no,NOT_FRIEND,0.844,0,2026-03-28 06:20:00,1
1219,18,Advanced,"IELTS,TOEFL,Reading",25.5,24,215,240,37,841,5038,GRAMMAR,Subjunctive mood basics,261,yes,63,68,5,706.6,false,BLOCKED,0.196,4,01/17/2026,0
1089,16,Advanced,"Grammar,TOEFL,BusinessEnglish",22.9,28,8,463,51,540,5364,BusinessEnglish,Presentation openings,362,0,182,53,8,658.6,0,BLOCKED,0.953,11,04/23/2026,1
1163,31,advanced,Writing; Speaking; Event,5.6,30,84,375,53,650,5428,Event,Writing workshop signup,478,false,81,35,4,140.8,false,FRIEND,0.821,12,04/02/2026,1
1216,27,Intermediate,BusinessEnglish; TOEFL,53.3,10,234,341,113,114,5339,grammar,Articles a/an/the explained,191,False,44,62,10,561.1,false,BLOCKED,0.188,12,03/02/2026,0
1091,41,Advanced,Grammar|BusinessEnglish|Reading,4.2,48,124,200,42,869,5246,TOEFL,TOEFL Prep weekly thread,367,true,311,4,12,637.6,false,BLOCKED,0.208,3,2026/01/17,0
1136,N/A,advanced,"Listening,TOEFL",27.6,61,198,320,3,269,5210,BusinessEnglish,Job interview answers,268,false,50,2,18,442.5,1,PENDING,0.133,2,2026-01-12 07:07:00,0
1075,41,ADVANCED,Event,42.9,53,54,372,35,57,5209,toefl,TOEFL Prep weekly thread,73,true,49,20,23,653.1,no,BLOCKED,0.015,5,2026/02/08,0
1181,36,beginner,"Speaking,TOEFL",34,65,2,409,12,152,5504,Writing,Paraphrasing practice,505,true,337,26,6,533.4,false,FRIEND,0.087,11,2026-01-18 23:38:00,1
1058,29, Intermediate ,"Reading,TOEFL",35.9,59,139,138,85,503,5485,VOCABULARY,Synonym swap challenge,126,false,313,73,15,427.8,false,FRIEND,0.121,6,09-03-2026,1
1050,19,Advanced,N/A,51.2,69,15,239,53,858,5559,BUSINESSENGLISH,Meeting phrases,401,true,114,58,10,707.4,no,NOT_FRIEND,0.884,11,03/22/2026,1
1200,28,BEGINNER,"IELTS,Grammar",28.3,55,176,85,87,125,5302,IELTS,Cue card practice partners,258,0,317,76,17,254.1,False,NOT_FRIEND,0.881,11,2026-01-14 07:57:00,1
1191,18,Beginner,"Speaking,Listening,Grammar",59.7,68,162,275,35,608,5465,reading,Skimming vs scanning,310,no,177,82,13,364.6,false,NOT_FRIEND, ,3,2026-03-27 05:23:00,0
1075,41,advanced,Event,42.9,53,54,372,35,57,5402,BusinessEnglish,Job interview answers,37,false,246,50,15,470.3,false,FRIEND,0.233,7,2026-04-12 11:16:00,1
1057,36,intermediate,Vocabulary; Event,6.7,25,225,575,56,440,5366,Grammar,#PastParticiple cheatsheet,198,false,24,88,15,355.2,no,NOT_FRIEND,0.05,7,2026-01-03 21:29:00,1
1110,32,Beginner,"IELTS,Reading,Writing", ,38,76,119,30,862,5521,reading,Vocabulary in context,,true,324,52,22,349.7,false,PENDING,0.764,2,02-04-2026,1
1123,19,Intermediate,"IELTS,Listening,BusinessEnglish",12.3,38,58,370,10,860,5072,WRITING,Essay feedback exchange,292,false,247,54,19,111.1,False,NOT_FRIEND,0.145,7,04/26/2026,1
1213,NaN,ADVANCED,"Listening,BusinessEnglish,Vocabulary",41.7,48,232,595,20,735,5556,BusinessEnglish,Presentation openings,428,true,100,16,8,38,False,BLOCKED,0.89,2,2026-02-09 15:06:00,1
1096,37,Beginner,"Reading,Writing",30,7,236,319,78,850,5236,Listening,Accents around the world,72,yes,258,90,10,557.1,false,NOT_FRIEND,0.022,8,2026-01-03 10:15:00,1
1193,32,BEGINNER,BusinessEnglish,47.1,64,20,456,97,248,5579,Writing,Formal vs informal register,375,true,249,37,5,156.2,no,NOT_FRIEND,0.023,7,03/28/2026,1
